N_users,overlap,batch,target_acc,reuse_policy,best_effort,amp,cache_dataset,baseline_total_train_gpu_ms,reuse_total_train_gpu_ms,baseline_total_train_wall_s,reuse_total_train_wall_s,baseline_total_steps,reuse_total_steps,work_eliminated_ratio,baseline_success_rate,reuse_success_rate,baseline_gpu_ms_per_success,reuse_gpu_ms_per_success,baseline_mean_final_acc,reuse_mean_final_acc,reuse_exact_hits,reuse_best_effort_hits,reuse_misses
1,0.85,256,0.98,all,False,True,True,853.1415066719055,869.2428796291351,1.0802840999676846,0.9246339999954216,200,300,-0.5,1.0,1.0,853.1415066719055,869.2428796291351,0.9714,0.9746,0,0,0
2,0.85,256,0.98,all,False,True,True,2075.4135065078735,1380.0345623493195,2.1980224000290036,1.4654555000015534,676,476,0.29585798816568043,0.5,0.5,2075.4135065078735,1380.0345623493195,0.9700500000000001,0.97625,5,0,0
4,0.85,256,0.98,all,False,True,True,4510.852090835571,1681.1079676151276,4.775061400025152,1.7837804000009783,1504,576,0.6170212765957447,0.0,0.75,inf,560.3693225383759,0.9727,0.976725,15,0,0
8,0.85,256,0.98,all,False,True,True,8706.527237653732,2602.5052185058594,9.22451499995077,2.7614792000385933,2830,876,0.6904593639575971,0.375,0.875,2902.1757458845773,371.78645978655135,0.97245,0.9751875,35,0,0
16,0.85,256,0.98,all,False,True,True,16120.974336862564,3522.116608142853,17.086395099991933,3.736041500000283,5380,1176,0.7814126394052044,0.6875,0.9375,1465.5431215329604,234.8077738761902,0.97409375,0.97669375,75,0,0
32,0.85,256,0.98,all,False,True,True,34611.25530099869,10717.100028038025,36.66251550015295,11.370607999968342,11498,3600,0.6869020699252044,0.28125,1.0,3845.6950334442986,334.9093758761883,0.972453125,0.975390625,155,0,0
